Running for FP6
Threshold for Lidar outliers = 0.1m.
Img Id, Detector, Descriptor, Matcher, Selector, TTCCamera, TTCLidar
Image 17,FAST,FREAK,MAT_BF,SEL_KNN,7.75326,10.2926
Image 18,FAST,FREAK,MAT_BF,SEL_KNN,11.0001,8.30978
Image 1,FAST,ORB,MAT_BF,SEL_KNN,11.6421,12.5604
Image 2,FAST,ORB,MAT_BF,SEL_KNN,11.6431,12.6628
Image 3,FAST,ORB,MAT_BF,SEL_KNN,12.7569,16.2563
Image 4,FAST,ORB,MAT_BF,SEL_KNN,12.8853,13.834
Image 5,FAST,ORB,MAT_BF,SEL_KNN,15.6623,13.0305
Image 6,FAST,ORB,MAT_BF,SEL_KNN,12.4642,13.3877
Image 7,FAST,ORB,MAT_BF,SEL_KNN,11.9033,13.2877
Image 8,FAST,ORB,MAT_BF,SEL_KNN,12.0531,13.671
Image 9,FAST,ORB,MAT_BF,SEL_KNN,12.6403,14.6431
Image 10,FAST,ORB,MAT_BF,SEL_KNN,13.5598,9.85736
Image 11,FAST,ORB,MAT_BF,SEL_KNN,13.538,14.9877
Image 12,FAST,ORB,MAT_BF,SEL_KNN,11.4706,10.1
Image 13,FAST,ORB,MAT_BF,SEL_KNN,12.0169,9.22307
Image 14,FAST,ORB,MAT_BF,SEL_KNN,11.5866,10.9678
Image 15,FAST,ORB,MAT_BF,SEL_KNN,11.1246,8.09422
Image 16,FAST,ORB,MAT_BF,SEL_KNN,11.208,8.81392
Image 17,FAST,ORB,MAT_BF,SEL_KNN,9.12429,10.2926
Image 18,FAST,ORB,MAT_BF,SEL_KNN,10.9163,8.30978
Image 1,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,12.1004,12.5604
Image 2,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,12.2338,12.6628
Image 3,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,9.67432,16.2563
Image 4,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,12.4273,13.834
Image 5,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,11.7284,13.0305
Image 6,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,12.306,13.3877
Image 7,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,12.9895,13.2877
Image 8,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,11.6306,13.671
Image 9,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,11.9423,14.6431
Image 10,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,13.0137,9.85736
Image 11,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,11.986,14.9877
Image 12,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,11.2376,10.1
Image 13,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,12.0753,9.22307
Image 14,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,9.38555,10.9678
Image 15,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,10.4358,8.09422
Image 16,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,10.12,8.81392
Image 17,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,9.97377,10.2926
Image 18,SHITOMASI,BRIEF,MAT_BF,SEL_KNN,8.57088,8.30978
Image 1,SHITOMASI,SIFT,MAT_BF,SEL_KNN,13.0594,12.5604
Image 2,SHITOMASI,SIFT,MAT_BF,SEL_KNN,11.8761,12.6628
Image 3,SHITOMASI,SIFT,MAT_BF,SEL_KNN,11.5554,16.2563
Image 4,SHITOMASI,SIFT,MAT_BF,SEL_KNN,12.9162,13.834
Image 5,SHITOMASI,SIFT,MAT_BF,SEL_KNN,12.1376,13.0305
